,name,lugar_extraido
0,Shakira,lastfm
1,Aterciopelados,lastfm
2,Soraya,lastfm
3,Juanes,lastfm
4,Carlos Vives,lastfm
5,Bomba Estéreo,lastfm
6,Miranda,lastfm
7,Sidestepper,lastfm
8,Cabas,lastfm
9,Fonseca,lastfm
10,Joe Arroyo,lastfm
11,Choc Quib Town,lastfm
12,La 33,lastfm
13,Grupo Niche,lastfm
14,Totó La Momposina,lastfm
15,Systema Solar,lastfm
16,Fruko Y Sus Tesos,lastfm
17,Siam,lastfm
18,Andrea Echeverri,lastfm
19,Naif,lastfm
20,Ilona,lastfm
21,Bacilos,lastfm
22,Ekhymosis,lastfm
23,Naty Botero,lastfm
24,Inquisition,lastfm
25,Kraken,lastfm
26,Monsieur Periné,lastfm
27,Fanny Lú,lastfm
28,Maia,lastfm
29,Andrés Cepeda,lastfm
30,Los Corraleros De Majagual,lastfm
31,La Pestilencia,lastfm
32,Anasol,lastfm
33,La Sonora Dinamita,lastfm
34,Pornomotora,lastfm
35,Internal Suffering,lastfm
36,Sonora Carruseles,lastfm
37,Marta Gómez,lastfm
38,Jimena Angel,lastfm
39,Paula Arenas,lastfm
40,Superlitio,lastfm
41,Pernett,lastfm
42,ChocQuibTown,lastfm
43,Yuri Buenaventura,lastfm
44,Cali & El Dandee,lastfm
45,Stephanie Cayo,lastfm
46,Puerto Candelaria,lastfm
47,The Latin Brothers,lastfm
48,Velandia y la tigra,lastfm
49,Lucrecia,lastfm
50,Odio A Botero,lastfm
51,Verónica Orozco,lastfm
52,Lucrecia Dalt,lastfm
53,Silvestre Dangond,lastfm
54,The Mills,lastfm
55,Paula,lastfm
56,Doctor Krapula,lastfm
57,1280 Almas,lastfm
58,The Hall Effect,lastfm
59,The Black Cat Bone,lastfm
60,Los De Adentro,lastfm
61,Don Tetto,lastfm
62,Goretrade,lastfm
63,Carolina Marquez,lastfm
64,Nihil Obstat,lastfm
65,Lucas Arnau,lastfm
66,Ondatrópica,lastfm
67,Sanalejo,lastfm
68,Margarita Rosa De Francisco,lastfm
69,Monareta,lastfm
70,Bonka,lastfm
71,Mindly Rotten,lastfm
72,Diomedes Díaz,lastfm
73,Los Gaiteros de San Jacinto,lastfm
74,Diva Gash,lastfm
75,Lucho Bermúdez,lastfm
76,Son De Cali,lastfm
77,Los Titanes,lastfm
78,Coffee Makers,lastfm
79,Jorge Celedon,lastfm
80,Bomba Estéreo,lastfm
81,FRENTE CUMBIERO,lastfm
82,Koyi K Utho,lastfm
83,Esteman,lastfm
84,Masacre,lastfm
85,Witchtrap,lastfm
86,Sismo,lastfm
87,Lido Pimienta,lastfm
88,Conector,lastfm
89,La Revuelta,lastfm
90,J Balvin,lastfm
91,V For Volume,lastfm
92,La Derecha,lastfm
93,Retrovisor,lastfm
94,Jerau,lastfm
95,Wganda Kenya,lastfm
96,Estados Alterados,lastfm
97,Purulent,lastfm
98,Carnivore Diprosopus,lastfm
99,Parabellum,lastfm
100,Afrosound,lastfm
101,Pedro Laza y Sus Pelayeros,lastfm
102,Kaleth Morales,lastfm
103,Binomio De Oro,lastfm
104,Bajo Tierra,lastfm
105,Aniceto Molina,lastfm
106,Sin Animo De Lucro,lastfm
107,Ines Gaviria,lastfm
108,Ancient Necropsy,lastfm
