,name,lugar_extraido
0,Shakira,pagina_artistas_famosos
1,Juanes,pagina_artistas_famosos
2,Mateo Camargo,pagina_artistas_famosos
3,Alfredo Gutierrez,pagina_artistas_famosos
4,Alex González,pagina_artistas_famosos
5,John Leguizamo,pagina_artistas_famosos
6,Andrés Cepeda,pagina_artistas_famosos
7,Gabriel García Márquez,pagina_artistas_famosos
8,José Rodrigo Arango,pagina_artistas_famosos
9,Miguel Bosé,pagina_artistas_famosos
10,Fonseca,pagina_artistas_famosos
11,Fanny Lú,pagina_artistas_famosos
12,Joe Arroyo,pagina_artistas_famosos
13,Marbelle,pagina_artistas_famosos
14,Diomedes Díaz,pagina_artistas_famosos
15,Jorge Celedón,pagina_artistas_famosos
16,Catalina Sandino Moreno,pagina_artistas_famosos
17,Silvestre Dangond,pagina_artistas_famosos
18,Jean Carlos Centeno,pagina_artistas_famosos
19,Andrés Cabas,pagina_artistas_famosos
20,Carlos Vives,pagina_artistas_famosos
21,Jorge Oñate,pagina_artistas_famosos
22,Carolina la O,pagina_artistas_famosos
23,Natalia Hernández Botero,pagina_artistas_famosos
24,Ivan Villazon,pagina_artistas_famosos
25,Fernando Osorio,pagina_artistas_famosos
26,Maía,pagina_artistas_famosos
27,Piero De Benedictis,pagina_artistas_famosos
28,Israel Romero,pagina_artistas_famosos
29,Ilona,pagina_artistas_famosos
30,Naëla,pagina_artistas_famosos
31,Andrea Echeverri,pagina_artistas_famosos
32,J Balvin,pagina_artistas_famosos
33,Héctor Buitrago,pagina_artistas_famosos
34,Farina,pagina_artistas_famosos
35,Rafael Orozco Maestre,pagina_artistas_famosos
36,Edmar Castañeda,pagina_artistas_famosos
37,Totó la Momposina,pagina_artistas_famosos
38,Kaleth Morales,pagina_artistas_famosos
39,Jose Gaviria,pagina_artistas_famosos
40,Annie McCausland,pagina_artistas_famosos
41,Iván Gutiérrez,pagina_artistas_famosos
42,Alex Campos,pagina_artistas_famosos
43,Kike Santander,pagina_artistas_famosos
44,Tatiana Fuentes,pagina_artistas_famosos
45,Mayra Alejandra Gomez Rodriguez,pagina_artistas_famosos
46,Andrés Useche,pagina_artistas_famosos
47,Estéfano,pagina_artistas_famosos
48,Juan Carlos Coronel,pagina_artistas_famosos
49,Emiliano Zuleta,pagina_artistas_famosos
50,Samuel Torres,pagina_artistas_famosos
51,Jorge Villamizar,pagina_artistas_famosos
52,Lincoln Palomeque,pagina_artistas_famosos
53,Rafael Escalona,pagina_artistas_famosos
54,Sara Tunes,pagina_artistas_famosos
55,Orlando Sandoval,pagina_artistas_famosos
56,John Paul Ospina,pagina_artistas_famosos
57,Peter Manjarres,pagina_artistas_famosos
58,Ivonne Guzmán,pagina_artistas_famosos
